               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.06083,            0.052927,           0.0021046,              0.3296,             0.28587,             0.18881,            0.048139,            0.072593,            0.055902,           0.0032818,           0.0046252,           0.0046252,            0.057925
                  36,            0.058651,            0.054468,           0.0017859,             0.32628,             0.30531,             0.18817,            0.056858,             0.07185,            0.056238,           0.0033014,           0.0047513,           0.0047513,            0.056751
                  37,            0.059812,             0.05104,            0.001782,             0.34287,              0.3075,             0.19312,             0.04765,            0.073235,            0.058314,             0.00339,           0.0048772,           0.0048772,            0.055577
                  38,            0.059695,            0.052242,           0.0016928,             0.32752,             0.22165,             0.14586,            0.039609,            0.072575,            0.057964,           0.0040887,           0.0050028,           0.0050028,            0.054403
                  39,            0.058595,            0.052935,           0.0021682,             0.31753,             0.21324,             0.16125,            0.041044,            0.072412,             0.05794,            0.003549,           0.0051282,           0.0051282,            0.053228
                  40,            0.056927,            0.052876,           0.0018319,              0.3307,             0.20537,             0.15453,            0.044166,            0.075735,            0.057256,           0.0035427,           0.0052534,           0.0052534,            0.052053
                  41,            0.056692,            0.052299,           0.0016334,             0.29538,             0.22323,             0.15498,            0.041115,            0.073621,            0.058478,           0.0043492,           0.0053783,           0.0053783,            0.050878
                  42,            0.058675,            0.051486,           0.0017496,              0.3354,             0.20389,             0.16753,            0.045238,            0.071401,            0.058377,            0.003288,            0.005503,            0.005503,            0.049703
                  43,            0.056231,            0.052973,           0.0017476,             0.32111,              0.1903,             0.15738,            0.041456,            0.072393,            0.060206,           0.0036748,           0.0056275,           0.0056275,            0.048527
                  44,            0.057202,            0.051349,           0.0016966,             0.31819,             0.21611,             0.15146,            0.040892,            0.074247,            0.059295,            0.003217,           0.0057516,           0.0057516,            0.047352
                  45,            0.056813,            0.051478,            0.001832,             0.38616,              0.2217,             0.18856,            0.050782,            0.074255,            0.059344,           0.0034901,           0.0058756,           0.0058756,            0.046176
                  46,             0.05641,            0.051132,           0.0015957,             0.34479,             0.23942,             0.17702,            0.047844,            0.074011,            0.061654,           0.0054271,           0.0059992,           0.0059992,            0.044999
                  47,            0.055554,            0.051462,           0.0017485,              0.3555,             0.24708,             0.18896,            0.047598,            0.074088,             0.05923,           0.0048505,           0.0061226,           0.0061226,            0.043823
                  48,            0.054557,            0.050777,           0.0015734,             0.24479,             0.22044,             0.14337,            0.040095,            0.074785,            0.059381,           0.0033945,           0.0062456,           0.0062456,            0.042646
                  49,             0.05678,            0.050771,             0.00172,              0.3481,             0.21429,             0.17925,            0.051127,            0.075167,             0.06124,           0.0037624,           0.0063684,           0.0063684,            0.041468
                  50,            0.054056,            0.050325,           0.0014939,              0.3029,             0.25264,             0.18813,            0.052905,             0.07133,             0.05877,           0.0037348,           0.0064909,           0.0064909,            0.040291
                  51,             0.05332,            0.048417,           0.0015746,             0.34505,             0.24968,             0.19308,             0.05375,            0.072888,            0.059747,           0.0051144,           0.0066131,           0.0066131,            0.039113
                  52,            0.053688,            0.047205,           0.0015759,             0.30686,              0.1832,              0.1462,            0.042451,            0.073452,            0.062182,           0.0036994,            0.006735,            0.006735,            0.037935
                  53,            0.055252,            0.049087,           0.0016512,             0.28731,             0.27154,              0.1911,            0.051307,            0.073215,            0.060705,           0.0046807,           0.0068566,           0.0068566,            0.036757
                  54,            0.054122,             0.04891,           0.0017032,             0.29472,             0.24614,             0.16302,            0.043598,            0.074103,            0.062998,           0.0040574,           0.0069778,           0.0069778,            0.035578
